Molecule,PSEUDOS,Status
H2,H@pot.H_lda1,0
Li2,Li@pot.Li_pbe1TM,0
CO,C@pot.C_pbe1|O@pot.O_pbe1,0
CO2,C@pot.C_pbe1|O@pot.O_pbe1,0
N2,N@pot.N_pbe1,0
O2,O@pot.O_pbe1,0
H2O,H@pot.H_lda1|O@pot.O_pbe1,0
F2,F@pot.F_pbe1,0
Cl2,Cl@pot.Cl_pbe1,0
CF4,C@pot.C_pbe1|F@pot.F_pbe1,0
CCl4,C@pot.C_pbe1|Cl@pot.Cl_pbe1,0
CH3OH,C@pot.C_pbe1|H@pot.H_lda1|O@pot.O_pbe1,0
HCOOH,C@pot.C_pbe1|H@pot.H_lda1|O@pot.O_pbe1,0
CH4,C@pot.C_pbe1|H@pot.H_lda1,0
C2H2,C@pot.C_pbe1|H@pot.H_lda1,0
C2H4,C@pot.C_pbe1|H@pot.H_lda1,0
C2H6,C@pot.C_pbe1|H@pot.H_lda1,0
NO,N@pot.N_pbe1|O@pot.O_pbe1,0
NO2,N@pot.N_pbe1|O@pot.O_pbe1,0
N2O,N@pot.N_pbe1|O@pot.O_pbe1,0
NH3,N@pot.N_pbe1|H@pot.H_lda1,0
CH3SH,C@pot.C_pbe1|H@pot.H_lda1|S@pot.S_pbe1,0
